MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 32 1940,0123500583208,39097014383377,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 33 1941,0123500583216,39097014383385,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 34 1942,0123500583224,39097014383393,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 35 1943,0123500583232,39097014383401,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 36 1944,0123500583240,39097014383419,,
993663460101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 37 1945,0123500583257,39097014383427,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 38 1946,0123500583265,39097014383435,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 39 1947,0123500583273,39097014383443,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 4 1912,0123500582929,39097014383450,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 40 1948,0123500583281,39097014383468,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 41 1949,0123500583299,39097014383476,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 42 1950,0123500583307,39097014383484,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 43 1951,0123500583315,39097014383492,,
993564370101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 44 1952,0123500583323,39097014383500,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 45 1953,0123500583331,39097014383518,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 46 1954,0123500583349,39097014383526,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 47 1955,0123500583356,39097014383534,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 48 1956,0123500583364,39097014383542,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 49 1957,0123500583372,39097014383559,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 5 1913,0123500582937,39097014383567,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 50 1958,0123500583380,39097014383575,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 51 1959,0123500583398,39097014383583,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 52 1960,0123500583406,39097014383591,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 53 1961,0123500583414,39097014383609,,
