MMS ID,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base status,Barcode,Scanned Barcode,Notes/Comments
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1964,,0888800044552,39097014617642,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1965,,0888800044560,39097014617410,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1966,,0888800044578,39097014617428,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1967,,0888800044586,39097014617436,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1968,,0888800044594,39097014617444,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1969,,0888800044602,39097014617451,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1970,,0888800044610,39097014617469,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1971,,0888800044628,39097014617485,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1972,,0888800044636,39097014617477,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1973,,0888800044644,39097014617493,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1974,,0888800044651,39097014617501,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1975,,0888800044669,39097014617519,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1976,,0888800044677,39097014617527,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1977,,0888800044685,39097014235924,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1978,,0888800044693,39097014235916,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1980,,0888800044701,39097014236047,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1981,,0888800044719,39097014236039,
996166930101921,0hg#3361 p2 a15,,Stacks,HG3361.P2 A15,Din á¹¿e-á¸¥eshbon.,1982 (S ppl. 1-2),,0888800044727,39097014236161,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.1,,0888800044735,39097014616511,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.3,,0888800044750,39097014616503,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.4,,0888800044768,39097014616495,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.5,,0888800044776,39097014616487,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.6,,0888800044784,39097014616479,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.7,,0888800044792,39097014616461,
996166940101921,"0ds""111 a1 a77",,Stacks,DS111.A1 A77,Ê»Atikot. Sidrah Ê»Ivrit.,v.8,,0888800044800,39097014616453,
996166970101921,"0ds""101 w68",,Stacks,DS101 .W68,YediÊ»on / ha-Igud ha-Ê»olami le-madaÊ»e ha-Yahadut.,v.1-10(1970-1976),,0888800045294,39097014616289,
996166970101921,"0ds""101 w68",,Stacks,DS101 .W68,YediÊ»on / ha-Igud ha-Ê»olami le-madaÊ»e ha-Yahadut.,v.11-20(1977-1982),,0888800045302,39097014616271,
996166970101921,"0ds""101 w68",,Stacks,DS101 .W68,YediÊ»on / ha-Igud ha-Ê»olami le-madaÊ»e ha-Yahadut.,v.21-28(1982-1988),,0888800045310,39097014616396,
996167030101921,"0ds""135 r92 s5",,Stacks,DS135.R92 S5,Shevut.,no.1-2(1973-1974),,0888800045757,39097014617733,
