MMS Id,Permanent Call Number,Column1,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.23(1982),0123500448519,39097014643838,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.24(1983),0123500448527,39097014643846,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.25(1984),0123500448535,39097014643853,,
993684050101921,PJ4501 .H47,,Main Library,Stacks,Item in place,Hebrew studies.,v.26(1985),0123500448543,39097014643861,,
997582740101921,PJ5042 .H45,,Main Library,Stacks,Item in place,Heliá¸³on.,no.99(2013),B1545436,39097014238670,,
997582740101921,PJ5042 .H45,,Main Library,Stacks,Item in place,Heliá¸³on.,no.100(2013),B1609641,39097014238662,,
997582740101921,PJ5042 .H45,,Main Library,Stacks,Item in place,Heliá¸³on.,no.107(2014),B2041218,39097014238654,,
997582740101921,PJ5042 .H45,,Main Library,Stacks,Item in place,Heliá¸³on.,no.108(2015),B2043271,39097014238647,,
997582740101921,PJ5042 .H45,,Main Library,Stacks,Item in place,Heliá¸³on.,no.119(2017),B2069513,39097014092093,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.1(1822:July-Dec.),0123501430037,39097014646641,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,Index: ser.1:v.1-11(1822-1827),0123501430045,39097014646575,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.2(1823:Jan.-June),0123501430052,39097014646674,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.3(1823:July-Dec.),0123501430060,39097014646682,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.4(1824:Jan.-June),0123501430078,39097014646690,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.5(1824:July-Dec.),0123501430086,39097014646708,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.6(1825:Jan.-June),0123501430094,39097014646716,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.7(1825:July-Dec.),0123501430102,39097014646724,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.8(1826:Jan.-June),0123501430110,39097014646732,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.9(1826:July-Dec.),0123501430128,39097014646740,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.10(1827:Jan.-June),0123501430136,39097014646658,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.1:v.11(1827:July-Dec.),0123501430144,39097014646666,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.1(1828:Jan.-June),0123501430151,39097014646757,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.2(1828:July-Dec.),0123501430169,39097014646831,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.3(1829:Jan.-June),0123501430177,39097014646849,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.4(1829:July-Dec.),0123501430185,39097014646856,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.5(1830:Jan.-June),0123501430193,39097014646864,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.6(1830:July-Dec.),0123501430201,39097014646872,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.7(1831:Jan.-June),0123501430219,39097014646880,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.8(1831:July-Dec.),0123501430227,39097014646898,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.9(1832:Jan.-June),0123501430235,39097014646906,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.10(1832:July-Dec.),0123501430243,39097014646765,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.11(1833:Jan.-June),0123501430250,39097014646773,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.12(1833:July-Dec.),0123501430268,39097014646781,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.13(1834:Jan.-June),0123501430276,39097014646799,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.14(1834:July-Dec.),0123501430284,39097014646807,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.15(1835:Jan.-June),0123501430292,39097014646815,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.2:v.16(1835:July-Dec.),0123501430300,39097014646823,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.3:v.9(1840),0123501430318,39097014646914,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.4:v.20(1852),0123501430326,39097014646922,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.5:v.14(1859),0123501430334,39097014646930,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.5:v.17(1861),0123501430342,39097014646948,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.5:v.18(1861),0123501430359,39097014646955,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.5:v.19(1862),0123501430367,39097014646963,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.3(1864),0123501430375,39097014647045,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.9-10(1867),0123501430383,39097014647052,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.13(1869),0123501430391,39097014646971,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.14(1869),0123501430409,39097014646989,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.15(1870),0123501430417,39097014646997,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.16(1870),0123501430425,39097014647003,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.17(1871),0123501430433,39097014647011,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.18(1871),0123501430441,39097014647029,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.6:v.19(1872),0123501430458,39097014647037,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.7:v.11-12(1878),0123501430466,39097014647060,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.7:v.16(1880),0123501430474,39097014647078,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.8:v.11:pt.1(1888),0123501430482,39097014647086,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.8:v.11:pt.2(1888),0123501430490,39097014647094,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,Index: ser.10:v.1-20(1903-1912),0123501430508,39097014646567,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.10:v.13(1909:Jan.-June),0123501430516,39097014646583,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.10:v.14(1909:July-Dec.),0123501430524,39097014646591,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.10:v.19(1912:Jan.-June),0123501430532,39097014646609,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.10:v.20(1912:July-Dec.),0123501430540,39097014646617,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.11:v.1(1913),0123501430557,39097014646625,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,ser.11:v.16(1920),0123501430573,39097014646633,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.263(1975),0123501430581,39097014647102,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.264(1976),0123501430599,39097014647110,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.265(1977),0123501430607,39097014647128,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.266(1978),0123501430615,39097014647136,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.267(1979),0123501430623,39097014647144,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.268(1980),0123501430631,39097014647151,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.269(1981),0123501430649,39097014647169,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.270(1982),0123501430656,39097014647177,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.271(1983),0123501430664,39097014647185,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.272(1984),0123501430672,39097014647193,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.273(1985),0123501430680,39097014647201,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.275(1987),0123501430706,39097014647219,,
994568180101921,PJ5 .J5,,Main Library,Stacks,Item in place,Journal asiatique.,v.276-277(1988-1989),0123501430714,39097014647227,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.1(1956),0123500294434,39097014643218,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.3(1958),0123500294459,39097014643226,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.4(1959),0123500294467,39097014643234,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.5(1960),0123500294475,39097014643242,,
