MMS Id,Normalized Call Number,Library Name,Location Name,Permanent Call Number,Title,Description,Base Status,Barcode,Scanned Barcode,Notes/Comments,Retention Commitment
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.66:no.1-2(2012:Feb.-May),Item in place,B1450822,39097014540307,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.66:no.3-4(2012:Aug.-Nov.),Item in place,B1450823,39097014540315,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.67:no.1-2(2013:Feb.-May),Item in place,B1450824,39097014540323,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.67:no.3-4(2013:Aug.-Nov.),Item in place,B1450825,39097014540331,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.68:no.1-2(2014),Item in place,B2035201,39097014540349,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.68:no.3-4(2014),Item in place,B2041339,39097014540356,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.69:no.1-2(2015),Item in place,B2043354,39097014540489,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.69:no.3-4(2015),Item in place,B2051001,39097014540364,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.70:no.1-2(2016),Item in place,B2054165,39097014540471,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
993682080101921,0pc 2 l4,Main Library,Stacks,PC2 .L4,Les Lettres romanes.,v.70:no.3-4(2016),Item in place,B2061273,39097014540463,,v.1(1947)-v.70(2016) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
994568170101921,0pf#3003 j3,Main Library,Stacks,PF3003 .J3,Jahrbuch fÃ¼r internationale Germanistik.,v.40:no.1(2008),Item in place,B608898,39097014540612,,v.1(1969)-v.42(2010) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
994568170101921,0pf#3003 j3,Main Library,Stacks,PF3003 .J3,Jahrbuch fÃ¼r internationale Germanistik.,v.41:no.1(2009),Item in place,B608900,39097014540620,,v.1(1969)-v.42(2010) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
994568170101921,0pf#3003 j3,Main Library,Stacks,PF3003 .J3,Jahrbuch fÃ¼r internationale Germanistik.,v.41:no.2(2009),Item in place,B608901,39097014540638,,v.1(1969)-v.42(2010) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
994568170101921,0pf#3003 j3,Main Library,Stacks,PF3003 .J3,Jahrbuch fÃ¼r internationale Germanistik.,v.42:no.1(2010),Item in place,B995258,39097014540646,,v.1(1969)-v.42(2010) committed to retain 20160630 20310630 EAST http://eastlibraries.org/retained-materials MWaIB
